id	iata	name	country	latitude	longitude
3087	HYS	Hays Regional Airport	United States	38.85391	-99.27379
3098	IAD	Washington Dulles International Airport	1 United States	38.953117	-77.456535
3099	IAG	Niagara Falls International Airport	United States	43.108032	-78.94669
3100	IAH	George Bush Intercontinental Airport	United States	29.99022	-95.336784
3102	IAN	Bob Baker Memorial Airport	United States	66.9755	-160.43674
3125	ICT	Wichita Dwight D. Eisenhower National Airport	United States	37.650852	-97.428696
3127	IDA	Idaho Falls Regional Airport	United States	43.512413	-112.073524
3157	IGG	Igiugig Airport	United States	59.323982	-155.90227
3191	ILG	Wilmington Airport 	United States	39.680202	-75.60346
3193	ILI	Iliamna Airport	United States	59.75311	-154.91264
3196	ILM	Wilmington International Airport	United States	34.26689	-77.91052
3218	IMT	Ford Airport	United States	45.814983	-88.11857
3222	IND	Indianapolis International Airport	United States	39.716858	-86.29559
3229	INL	Falls International Airport	United States	48.56639	-93.397606
3256	IPL	Imperial County Airport 	United States	32.835205	-115.572395
3258	IPT	Williamsport Regional Airport	United States	41.24528	-76.91891
3273	IRK	Kirksville Regional Airport	United States	40.092525	-92.5407
3294	ISP	Long Island MacArthur Airport	United States	40.79482	-73.100586
3303	ITH	Ithaca Tompkins Regional Airport	United States	42.49108	-76.458496
3308	ITO	Hilo International Airport	United States	19.718834	-155.04169
3325	IWD	Gogebic–Iron County Airport	United States	46.525017	-90.13089
3360	JAC	Jackson Hole Airport	United States	43.60841	-110.73665
3369	JAN	Jackson–Evers International Airport	United States	32.31223	-90.07642
3377	JAX	Jacksonville International Airport	United States	30.494072	-81.687935
3380	JBR	Jonesboro Municipal Airport	United States	35.834614	-90.64264
3406	JFK	John F. Kennedy International Airport	United States	40.64131	-73.77814
3417	JHM	Kapalua Airport	United States	20.963455	-156.67274
3446	JLN	Joplin Regional Airport	United States	37.157475	-94.501595
3452	JMS	Jamestown Regional Airport	United States	46.929432	-98.67905
3459	JNU	Juneau International Airport	United States	58.35798	-134.58318
3488	JST	John Murtha Johnstown–Cambria County Airport	United States	40.32015	-78.83277
3523	KAE	Kake Airport 	United States	0	0
3529	KAL	Kaltag Airport	United States	64.321945	-158.73611
3546	KBC	Birch Creek Airport 	United States	66.27461	-145.81792
3570	KCC	Coffman Cove Seaplane Base	United States	56.011894	-132.82832
3614	KEB	Nanwalek Airport	United States	59.35314	-151.92397
3623	KEK	Ekwok Airport	United States	59.35653	-157.47145
3654	KGK	Koliganek Airport 	United States	59.726643	-157.25948
3665	KGX	Grayling Airport	United States	62.89574	-160.0671
3723	KKA	Koyuk Alfred Adams Airport	United States	64.93915	-161.15482
3724	KKB	Kitoi Bay Seaplane Base	United States	58.190945	-152.37048
3729	KKH	Kongiganak Airport 	United States	59.959156	-162.88184
3751	KLG	Kalskag Airport	United States	61.535892	-160.34401
3757	KLN	Larsen Bay Airport 	United States	57.535713	-153.97874
3764	KLW	Klawock Airport 	United States	55.579216	-133.07103
3781	KMO	Manokotak Airport 	United States	58.989986	-159.0498
3791	KMY	Moser Bay Seaplane Base	United States	57.02573	-154.14449
3802	KNK	Kokhanok Airport 	United States	59.433395	-154.80287
3813	KNW	New Stuyahok Airport	United States	59.450127	-157.32846
3816	KOA	Kona International Airport at Keāhole	United States	19.736916	-156.04292
3839	KOY	Olga Bay Seaplane Base	United States	57.161453	-154.2298
3840	KOZ	Ouzinkie Airport 	United States	57.92499	-152.49791
3842	KPB	Point Baker Seaplane Base	United States	56.35186	-133.62259
3850	KPN	Kipnuk Airport 	United States	59.932953	-164.03052
